# 5-regular loopless multigraphs on 8 vertices (max multiplicity 3)
# Fixed edges: [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (5, 6), (5, 6)]
# Only UNCOLORABLE graphs listed below
# Format: <index> | <edge_list>
#
509 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 4), (2, 4), (2, 5), (3, 5), (3, 6), (3, 6), (4, 7), (4, 7), (5, 6), (5, 6), (5, 6)]
530 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 4), (2, 4), (2, 4), (3, 5), (3, 6), (3, 6), (4, 7), (5, 6), (5, 6), (5, 6), (5, 7)]
534 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 4), (2, 4), (2, 4), (3, 5), (3, 5), (3, 6), (4, 7), (5, 6), (5, 6), (5, 6), (6, 7)]
541 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 7), (2, 7), (3, 6), (3, 6), (4, 5), (4, 5), (4, 5), (4, 6), (5, 6), (5, 6)]
542 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 7), (2, 7), (3, 5), (3, 6), (4, 5), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6)]
543 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 7), (2, 7), (3, 5), (3, 5), (4, 5), (4, 6), (4, 6), (4, 6), (5, 6), (5, 6)]
544 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 7), (2, 7), (3, 4), (3, 6), (4, 5), (4, 5), (4, 6), (5, 6), (5, 6), (5, 6)]
545 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 7), (2, 7), (3, 4), (3, 5), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6), (5, 6)]
546 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 6), (2, 7), (3, 6), (3, 7), (4, 5), (4, 5), (4, 5), (4, 6), (5, 6), (5, 6)]
548 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 6), (2, 7), (3, 5), (3, 7), (4, 5), (4, 5), (4, 6), (4, 6), (5, 6), (5, 6)]
551 | [(0, 1), (0, 1), (0, 2), (0, 3), (0, 4), (1, 7), (1, 7), (1, 7), (2, 3), (2, 3), (2, 6), (2, 7), (3, 4), (3, 7), (4, 5), (4, 5), (4, 6), (5, 6), (5, 6), (5, 6)]
