# 5-regular loopless multigraphs on 8 vertices (max multiplicity 2)
# Only UNCOLORABLE graphs listed below
# Format: <index> | <edge_list>
#
1873 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 3), (1, 6), (1, 6), (1, 7), (1, 7), (2, 3), (2, 4), (2, 4), (2, 5), (2, 5), (3, 4), (3, 6), (3, 7), (4, 5), (4, 5)]
1906 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 3), (1, 6), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (4, 5), (5, 6), (5, 7)]
1983 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 3), (1, 5), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 7), (3, 4), (3, 4), (4, 5), (5, 6), (5, 6)]
1992 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 3), (1, 5), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 6), (3, 4), (3, 4), (4, 5), (5, 6), (5, 7)]
2005 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 3), (1, 5), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (4, 7), (5, 6), (5, 6)]
2006 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 3), (1, 5), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (4, 6), (5, 6), (5, 7)]
2007 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 3), (1, 5), (1, 6), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (4, 5), (5, 6), (6, 7)]
2088 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 3), (1, 5), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 7), (3, 4), (3, 4), (4, 5), (5, 6), (5, 7)]
2093 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 3), (1, 5), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 6), (3, 4), (3, 4), (4, 5), (5, 7), (5, 7)]
2106 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 3), (1, 5), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (4, 7), (5, 6), (5, 7)]
2107 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 3), (1, 5), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (4, 6), (5, 7), (5, 7)]
2108 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 3), (1, 5), (1, 6), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (4, 5), (5, 7), (6, 7)]
2185 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 3), (1, 5), (1, 5), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 7), (3, 4), (3, 4), (4, 6), (5, 6), (5, 6)]
2198 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 3), (1, 5), (1, 5), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 6), (3, 4), (3, 4), (4, 7), (5, 6), (5, 6)]
2199 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 3), (1, 5), (1, 5), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 6), (3, 4), (3, 4), (4, 6), (5, 6), (5, 7)]
2200 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 3), (1, 5), (1, 5), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 6), (3, 4), (3, 4), (4, 5), (5, 6), (6, 7)]
2209 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 3), (1, 5), (1, 5), (1, 7), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 5), (3, 4), (3, 4), (4, 6), (5, 6), (6, 7)]
2328 | [(0, 5), (0, 6), (0, 6), (0, 7), (0, 7), (1, 3), (1, 5), (1, 5), (1, 6), (1, 7), (2, 3), (2, 3), (2, 4), (2, 4), (2, 7), (3, 4), (3, 4), (4, 7), (5, 6), (5, 6)]
